id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-type,number,pages,publisher,publtype,sub,sup,title,title-bibtex,tt,url,volume,year
20,David Beech,,,,,,,,,,,,,,ANSI X3H2,tr/sql/X3H2-92-062,2019-10-25,,,,,,,informal,,,Unification of Value and Object ADTs,,,db/conf/x3h2/index.html#X3H2-92-062,X3H2-92-062,1992.0
21,Rolf Sander,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS191,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,,,,191,1991.0
22,Thomas Ludwig 0001,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG59,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Algebraical Optimization of FTA-Expressions,,,,59,1988.0
23,Claus-Rainer Rollinger|Werner Emde,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG15,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Wissensrepräsentation und Maschinelles Lernen,,,,15,1987.0
24,Christoph Beierle|Hans Uszkoreit|Udo Pletat,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG40,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,An Algebraic Characterization of STUF,,,,40,1988.0
25,Ido Dagan|Ulrike Rackow|Ulrike Schwall,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS225,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,,,,225,1992.0
26,Brigitte Bartsch-Spörl,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM2,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Zur Systemarchitektur von LILOG,,,,2,1987.0
27,Burkhard Kehrbusch|Erich Gehlen,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG61,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,,,,61,1988.0
28,Gert Smolka|Markus Höhfeld,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG53,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Definite Resolution over Constraint Languages,,,,53,1988.0
29,Birgit Wesche,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM9,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Dokumentation der Syntax der LILOG-Grammatik,,,,9,1988.0
30,Christopher Habel,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG45,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Cognitive Linguistics: The Processing of Spatial Concepts,,,,45,1988.0
31,Albert Maier|Bernd Walter|Erich Gehlen|Michael Ley|Thomas Ludwig 0001,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG56,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,LILOG-DB: Database Support for Knowledge-Based Systems,,,,56,1988.0
32,Erich Gehlen|Stefan Benzschawel|Thomas Ludwig 0001,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS201,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Differential Closure Computation for General Horn-Clause Queries,,,,201,1991.0
33,,,,,,,,,,,,,,,IBM Publication,tr/ibm/G320-6590,2017-06-08,,"republished on ""ACM SIGMOD Anthology""",,,,"IBM Corporation, White Plains, NY",informal,,,SQL/Data System for VSE: A Relational Data System for Application Development.,,,,G320-6590,1981.0
34,Egon Börger,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS111,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,A Logical Operational Semantics of Full Prolog,,,,111,1990.0
35,Michael Ley,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG60,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,,,,60,1988.0
36,Roland Seiffert,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS228,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,How could a good system of practical NLP look like?,,,,228,1992.0
37,Gisela Schöpke,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS188,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,,,,188,1991.0
38,Stefan Böttcher,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS87,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Attribute Inheritance Implemented on Top of a Relational Database System,,,,87,1989.0
