"id","author","author-aux","author-orcid","booktitle","cdate","cdrom","cite","cite-label","crossref","editor","editor-orcid","ee","ee-type","i","journal","key","mdate","month","note","note-type","number","pages","publisher","publtype","sub","sup","title","title-bibtex","tt","url","volume","year"
"72","Egon Börger|Peter H. Schmitt","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS144","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras","","","","144","1990"
"114","Jan Wilms","","","","","","","","","","","","","","LILOG-Memo","tr/ibm/LILOGM5","2017-06-08","","","","","","IBM Deutschland GmbH","informal","","","Standards für das Programmieren in Prolog für LILOG, Version 2.0","","","","5","1987"
"117","Gert Smolka","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS93","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Feature Constraint Logics for Unification Grammars","","","","93","1989"
"119","Andreas Eisele 0001|Jochen Dörre","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS124","2017-09-22","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Disjunctive Unification","","","","124","1990"
"121","Sven Lorenz","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS234","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","On the Role of Reasoning about Change in the Projection of Presuppositions","","","","234","1992"
"125","Chin-Liang Chang|E. F. Codd|Jean-Marc Cadiou|Nick Roussopoulos|Robert S. Arnold","","","","","","","","","","","","","","Research Report / RJ / IBM / San Jose, California","tr/ibm/RJ2144","2020-02-21","January","republished on ""ACM SIGMOD Anthology""","","","","","informal","","","RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","","","","RJ2144","1978"
"128","Roland Seiffert","","","","","","","","","","","","","","LILOG-Memo","tr/ibm/LILOGM6","2017-06-08","","","","","","IBM Deutschland GmbH","informal","","","Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","","","","6","1987"
"279","Klaus Jansen","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-37","2017-06-08","","","","","","","informal","","","Approximation Results for Wavelength Routing in Directed Binary Trees","","","","96-37","1996"
"282","Christian Fecht|Helmut Seidl","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI97-06","2017-06-08","","","","","","","informal","","","Interprocedural Analysis Based on PDAs","","","","97-06","1997"
"285","Christoph Meinel|Harald Sack","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI01-06","2017-06-08","","","","","","","informal","","","A Heuristic for (+)-OBDD Minimization","","","","01-06","2001"
"289","Martin Gugat","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI94-11","2017-06-08","","","","","","","informal","","","A Fast and Robust Algorithm for a Class of Generalized Fractional Programs","","","","94-11","1994"
"291","Mirjam Dür|Reiner Horst","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-38","2017-06-08","","","","","","","informal","","","Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization","","","","96-38","1996"
"298","Christoph W. Keßler","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-12","2017-06-08","","","","","","","informal","","","Scheduling Expression DAGs for Minimal Register Need","","","","96-12","1996"
"302","Lothar Breuer","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI02-19","2017-06-08","","","","","","","informal","","","Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory","","","","02-19","2002"
"305","Klaus Jansen","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-41","2017-06-08","","","","","","","informal","","","Complexity Results for the Optimum Cost Chromatic Partition Problem","","","","96-41","1996"
"307","Nguyen V. Thoai|Reiner Horst","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-03","2017-06-08","","","","","","","informal","","","Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making","","","","96-03","1996"
